"Luzern","NEUTRAL","3863"
"Thalwil / Zurich, Switzerland","NEUTRAL","48"
"Fribourg/Freiburg, Switzerland","NEUTRAL","61"
"Sattel, Schweiz","POSITIVE","67"
"Aarau.","NEUTRAL","47"
"Safenwil, Schweiz","NEUTRAL","22"
"Zürich, Basel, Winterthur, Zug","POSITIVE","1"
"Joinville SC","NEUTRAL","25"
"Freiburg","NEUTRAL","10"
"Zürich, Zürich","POSITIVE","3"
"Zurich, Munich, Dubai","NEUTRAL","2"
"Adliswil ZH, Switzerland","NEUTRAL","2"
"Van Nuys, CA","NEUTRAL","2"
"Chur (Switzerland)","NEUTRAL","8"
"Volkshaus, Aarau","NEUTRAL","3"
"Kuala Lumpur , Malaysia","NEUTRAL","8"
"Zürich,Seebach","NEUTRAL","11"
"Sargans, Switzerland","POSITIVE","1"
"munich","NEUTRAL","1"
"Ehrendingen, Switzerland","NEUTRAL","1"
"Switzerland","POSITIVE","2682"
"Walenstadt","NEUTRAL","57"
"Neuenhof, Switzerland","NEUTRAL","4"
"Sierre, Valais HES-SO","NEUTRAL","1"
"Baar, CH","POSITIVE","2"
"Pratteln, Schweiz","POSITIVE","7"
"Switzerland, Zurich Aera","NEUTRAL","16"
"Kriens, Luzern, Schweiz","NEUTRAL","17"
"Passau","NEUTRAL","5"
"Eschenz, Schweiz","NEUTRAL","7"
"Augustinergasse 9","NEUTRAL","7"
"Kriens, Schweiz","POSITIVE","4"
"Obergösgen","NEUTRAL","9"
"schweiz/zh - schalkermarkt","NEUTRAL","4"
"Kuala Lumpur","NEUTRAL","1"
"ABU DHABI ❤️","NEUTRAL","2"
"Vleuten, Netherlands","NEUTRAL","1"
"Dulliken, Schweiz","NEUTRAL","2"
"Chur, Lachen, St.Moritz","NEUTRAL","1"
"Dietikon","NEGATIVE","2"
"cologne","NEUTRAL","3"
"Uster","POSITIVE","5"
"Grabs","NEUTRAL","2"
"25.101813,55.163426","NEUTRAL","1"
"BG","NEUTRAL","1"
"Schweiz, Olten","NEUTRAL","1"
"Stadion Wankdorf, Bern","NEUTRAL","1"
"Luzern / Emmenbrücke","NEUTRAL","1"
"Speicher AR, Schweiz","NEGATIVE","1"
"Zuerich, CH","NEUTRAL","1"
"Winterthur","POSITIVE","89"
"Copenhagen, Denmark","NEUTRAL","1"
"Schweiz, Suisse, Switzerland","POSITIVE","4"
"Greifensee, Switzerland","NEUTRAL","3"
"Ber(li)n, Switzerland","NEUTRAL","7"
"Grindelwald | Switzerland","NEUTRAL","8"
"Jona SG","NEUTRAL","24"
"Definitly not next to you","NEUTRAL","39"
"Arisdorf","NEUTRAL","3"
"Kerzers, Freiburg","POSITIVE","6"
"Arau, Perlis","NEUTRAL","4"
"8050, Zürich","POSITIVE","1"
"Trimmis, Graubünden","NEUTRAL","4"
"Engelberg, Switzerland","NEUTRAL","17"
"Ostholstein, SH, Germany","NEGATIVE","4"
"Nyon","NEUTRAL","1"
"Render Ranch","NEUTRAL","1"
"Nidau, Schweiz","POSITIVE","5"
"collombey valais , suisse","NEUTRAL","1"
"福井県若狭地方⇔豊島区・熊谷市","NEUTRAL","1"
"Columbus & Pickerington, Ohio","NEUTRAL","1"
"rüthi","NEUTRAL","3"
"Locarno, Svizzera","NEUTRAL","1"
"Rorschach, Sankt Gallen","NEUTRAL","2"
"Bern 72, Switzerland","POSITIVE","79"
"winterthur, ch","NEUTRAL","18"
"9473 Gams","NEUTRAL","5"
"Toronto","NEUTRAL","3"
"Sursee","POSITIVE","2"
"St. Louis","NEUTRAL","3"
"Milão","NEUTRAL","4"
"Zug, Switzerland","POSITIVE","13"
"25.094884,55.175486","NEUTRAL","7"
"Gruet (Gossau ZH), Switzerland","NEUTRAL","20"
"Effingen, Switzerland","NEUTRAL","3"
"Basel (Switzerland)","NEUTRAL","3"
"türkiye","NEUTRAL","2"
"Cyberia","NEUTRAL","2"
"Luthern, Schweiz","NEUTRAL","6"
"Derendingen","NEUTRAL","1"
"Ettingen, Schweiz","POSITIVE","1"
"Saanen","NEUTRAL","66"
"Baden","NEUTRAL","1279"
"SWITZERLAND, zurich","NEUTRAL","20"
"Aarau/Marseille/East Germany","NEUTRAL","4"
"Schweiz, Bern + Gontenschwil","NEUTRAL","3"
"Gib Deinen Standort ein","NEUTRAL","10"
"Alikon","NEUTRAL","3"
"Zürich, Basel","POSITIVE","4"
"Winterthur, Planet Earth","NEUTRAL","1"
"Meilen","NEUTRAL","13"
"Wil - Kanton St.Gallen","NEGATIVE","1"
"Horw","NEUTRAL","13"
"Freienbach, Schweiz","NEUTRAL","25"
"Luzern, Luzern","NEUTRAL","1"
"Seegräben","NEUTRAL","3"
"Fuchshausen,Schweiz","POSITIVE","1"
"Rapperswil-Jona / Basel, CHE","POSITIVE","6"
"Fidenza - Milano","NEUTRAL","2"
"Basel/Zürich, Switzerland","NEUTRAL","2"
"Letzigrund, Zürich, CH","NEUTRAL","35"
"Aarau - Switzerland","NEUTRAL","1"
