"Luzern","NEUTRAL","4042"
"Thalwil / Zurich, Switzerland","NEUTRAL","53"
"Safenwil, Schweiz","NEUTRAL","196"
"Zürich,Seebach","NEUTRAL","6"
"Ehrendingen, Switzerland","NEUTRAL","16"
"Aarau.","NEUTRAL","8"
"Sattel, Schweiz","POSITIVE","28"
"Switzerland,Zurich","NEUTRAL","3"
"Fribourg/Freiburg, Switzerland","NEUTRAL","49"
"Arau , Perlis ☀","NEUTRAL","1"
"Wahlern, Bern","POSITIVE","2"
"Switzerland / Europe","NEUTRAL","3"
"Chur (Switzerland)","NEUTRAL","5"
"Zurich, Munich, Dubai","NEUTRAL","5"
"Tokyo, Japan","POSITIVE","1"
"Zürich, Basel, Winterthur, Zug","POSITIVE","1"
"Volkshaus, Aarau","NEUTRAL","3"
"Chiasso, Ticino","NEUTRAL","1"
"Rolle, Suisse","NEUTRAL","1"
"Freiburg","NEUTRAL","2"
"Österreich","NEUTRAL","2"
"Switzerland","POSITIVE","2565"
"Switzerland, Zurich Aera","NEUTRAL","13"
"Kriens, Schweiz","POSITIVE","4"
"schweiz/zh - schalkermarkt","NEUTRAL","10"
"Obergösgen","NEUTRAL","9"
"Walenstadt","NEUTRAL","62"
"Dulliken, Schweiz","NEUTRAL","9"
"Zuerich, CH","NEUTRAL","5"
"Kriens, Luzern, Schweiz","NEUTRAL","22"
"Unterägeri, Schweiz","NEUTRAL","5"
"Kuala Lumpur","NEUTRAL","3"
"Pratteln, Schweiz","POSITIVE","7"
"Eschenz, Schweiz","NEUTRAL","7"
"Uster","POSITIVE","3"
"Bolligen, Schweiz","NEUTRAL","1"
"Dietikon","NEGATIVE","7"
"Augustinergasse 9","NEUTRAL","2"
"Grabs","NEUTRAL","5"
"Zürich, Lagos, on the road ...","NEUTRAL","5"
"Tripoli, Peloponnese","NEUTRAL","1"
"Neuenhof, Switzerland","NEUTRAL","2"
"Oisterwijk, NL","NEUTRAL","1"
"Winterthur","POSITIVE","83"
"Definitly not next to you","NEUTRAL","35"
"Greifensee, Switzerland","NEUTRAL","10"
"Arau, Perlis","NEUTRAL","5"
"Arisdorf","NEUTRAL","6"
"Engelberg, Switzerland","NEUTRAL","22"
"Kerzers, Freiburg","POSITIVE","3"
"Ostholstein, SH, Germany","NEGATIVE","14"
"جنيف","NEUTRAL","1"
"Ber(li)n, Switzerland","NEUTRAL","8"
"Jona SG","NEUTRAL","14"
"Nidau, Schweiz","POSITIVE","1"
"Bangalore, KA, INDIA","NEUTRAL","1"
"rüthi","NEUTRAL","2"
"Trimmis, Graubünden","NEUTRAL","2"
"Nyon","NEUTRAL","7"
"Zürich & Basel","POSITIVE","1"
"Grindelwald | Switzerland","NEUTRAL","3"
"Augsburg-Haunstetten","POSITIVE","1"
"SA. Jeddah","NEUTRAL","1"
"Toronto, ON","NEUTRAL","1"
"Locarno, Svizzera","NEUTRAL","3"
"Render Ranch","NEUTRAL","2"
"Rüschlikon","POSITIVE","1"
"Copenhagen, Denmark","NEUTRAL","1"
"Villarzel, Switzerland","NEUTRAL","1"
"Rorschach, Sankt Gallen","NEUTRAL","2"
"Gruet (Gossau ZH), Switzerland","NEUTRAL","25"
"Zug, Switzerland","POSITIVE","10"
"Bern 72, Switzerland","POSITIVE","57"
"Luthern, Schweiz","NEUTRAL","2"
"winterthur, ch","NEUTRAL","12"
"Brussels / Bern","NEUTRAL","1"
"Stuttgart, Baden-Württemberg","POSITIVE","2"
"9473 Gams","NEUTRAL","5"
"Basel (Switzerland)","NEUTRAL","4"
"Pfäffikon, SZ","POSITIVE","2"
"Vogelgrun/Frankreich","NEUTRAL","1"
"Derendingen","NEUTRAL","1"
"türkiye","NEUTRAL","2"
"Nendaz, Switzerland","NEUTRAL","1"
"Mainz","NEUTRAL","2"
"Effingen, Switzerland","NEUTRAL","2"
"O Barco de Valdeorras (Orense)","NEUTRAL","1"
"Nidau","POSITIVE","2"
"Baden","NEUTRAL","1725"
"Winterthur, Planet Earth","NEUTRAL","6"
"Adelboden - Lenk... dänk!","NEUTRAL","4"
"Freienbach, Schweiz","NEUTRAL","43"
"Meilen","NEUTRAL","18"
"Zürich, Basel","POSITIVE","1"
"Alikon","NEUTRAL","2"
"Saanen","NEUTRAL","99"
"ÜT: 13.744578,100.610543","NEUTRAL","6"
"SWITZERLAND, zurich","NEUTRAL","28"
"Horw","NEUTRAL","19"
"London","POSITIVE","2"
"Augsburg 31","NEUTRAL","10"
"Aarau/Marseille/East Germany","NEUTRAL","5"
"Fuchshausen,Schweiz","POSITIVE","3"
"Gib Deinen Standort ein","NEUTRAL","8"
"Seegräben","NEUTRAL","5"
"Zürich | Basel","NEUTRAL","2"
"Cham, Switzerland","NEUTRAL","5"
"Rapperswil-Jona / Basel, CHE","POSITIVE","4"
"Brighton/London","NEUTRAL","3"
"Schwyz, Schübelbach","POSITIVE","1"
"Lucerne, Switzerland","NEUTRAL","2451"
"Switzerland, St.Gallen","NEUTRAL","19"
"Safenwil","NEUTRAL","33"
"Münchwilen (TG), Schweiz","NEUTRAL","39"
"Köniz","NEUTRAL","28"
"Baden, Aargau","NEUTRAL","61"
"방콕,태국,BKK Thailand","NEUTRAL","5"
"sms@rebell.tv","NEGATIVE","16"
"Karlsruhe","NEUTRAL","2"
"Brittnau","NEUTRAL","9"
"Oftringen, Switzerland","NEUTRAL","19"
"SH","POSITIVE","5"
